NDVI,NDRE,Label
0.86542445,0.64528644,0
0.8593867,0.5135464,0
0.76654273,0.49669293,0
0.5591963,0.4936334,0
0.6520133,0.44678098,0
0.8060099,0.5213073,0
0.8172107,0.60777104,0
0.63584477,0.4265804,0
0.45013478,0.30266345,0
0.5174484,0.2210145,0
0.44864866,0.27690583,0
0.30059364,0.16763566,1
0.24697581,0.18034351,1
0.24612203,0.13652441,1
0.2626105,0.14017375,1
0.2623427,0.18196239,1
0.30478087,0.1841808,1
0.4189815,0.2901868,0
0.48080438,0.28605452,0
0.45644173,0.29373297,0
0.4459799,0.2795998,0
0.41110066,0.25453025,0
0.3886839,0.25618914,1
0.38355306,0.23577236,1
0.42929292,0.24841467,0
0.45352814,0.2651515,0
0.41289088,0.23964165,0
0.453125,0.27360913,0
0.46225166,0.26860097,0
0.5167785,0.36638454,0
0.5972851,0.33796588,0
0.68113375,0.3,0
0.70567626,0.4085648,0
0.6478957,0.44791666,0
0.6132675,0.36640766,0
0.6260745,0.3388381,0
0.56774783,0.3951983,0
0.6904177,0.39796808,0
0.8061806,0.48752162,0
0.61049867,0.44648752,0
0.43462896,0.3495845,0
0.41594154,0.27045596,0
0.47755703,0.26448363,0
0.50949126,0.252678,0
0.4394052,0.24023062,0
0.39744452,0.2866873,1
0.34487534,0.25533292,1
0.37480316,0.16945747,1
0.50178957,0.25704014,0
0.46915677,0.29122108,0
0.3679558,0.2694181,1
0.27094802,0.17136414,1
0.25595984,0.15322581,1
0.2620321,0.14667477,1
0.27633378,0.1409355,1
0.2763754,0.1879518,1
0.31882203,0.20892018,1
0.39598185,0.21970555,1
0.43827355,0.24368826,0
0.4407583,0.2994924,0
0.40225786,0.2857532,0
0.33927435,0.2050401,1
0.27261147,0.18015358,1
0.24519774,0.16985138,1
0.2343934,0.1453552,1
0.21355931,0.16549104,1
0.20578778,0.18796198,1
0.21744877,0.13844252,1
0.21839081,0.09773463,1
0.28656715,0.17880341,1
0.30628482,0.15511784,1
0.3235402,0.21921515,1
0.31445605,0.20904729,1
0.2929746,0.15951742,1
0.29643118,0.17336848,1
0.2955351,0.15989847,1
0.29709604,0.13633399,1
0.2361111,0.18785453,1
0.25631768,0.17686845,1
0.27067962,0.18938568,1
0.28,0.19755308,1
0.31578946,0.23411979,1
0.33598095,0.22908294,1
0.3348589,0.22720897,1
0.38880485,0.24982981,1
0.4,0.24174725,0
0.38258576,0.23460114,1
0.41499802,0.22626744,0
0.41246292,0.25221968,0
0.42898342,0.26001272,0
0.50137365,0.30507463,0
0.47442186,0.29796422,0
0.40636566,0.2508229,0
0.36577946,0.24204703,1
0.36356276,0.21151079,1
0.38010657,0.17593643,1
0.37509322,0.25741562,1
0.35598704,0.20792793,1
0.34132695,0.20849837,1
0.35418993,0.23421589,1
0.338657,0.24091521,1
0.33599362,0.24414715,1
0.34452555,0.28856245,1
0.37530267,0.27306688,1
0.37142858,0.20926453,1
0.36248785,0.19167021,1
0.3422699,0.2246229,1
0.31583133,0.17513321,1
0.30588236,0.20939735,1
0.3005069,0.18508743,1
0.3084507,0.20142257,1
0.3010989,0.18006645,1
0.29584157,0.1400697,1
0.31794873,0.11901306,1
0.27760252,0.1432604,1
0.22454874,0.14944087,1
0.23054114,0.13893653,1
0.23823316,0.12241549,1
0.21409214,0.14541388,1
0.20350404,0.13757962,1
0.21369863,0.13371721,1
0.2,0.12195122,1
0.21979435,0.1496063,1
0.24160206,0.16945542,1
0.2236842,0.15348837,1
0.2238806,0.16162266,1
0.21750842,0.16270097,1
0.23701067,0.14795244,1
0.25472748,0.13480885,1
0.21861777,0.1659919,1
0.22173913,0.15400411,1
0.25531915,0.14526044,1
0.22265625,0.17411691,1
0.20024799,0.11136624,1
0.191822,0.12294617,1
0.18720931,0.14014517,1
0.19080174,0.1087963,1
0.18708105,0.12862109,1
0.22193548,0.11477339,1
0.24984106,0.12794033,1
0.2198655,0.21609077,1
0.23893805,0.21387284,1
0.2946363,0.12876362,1
0.2962406,0.20728292,1
0.3536,0.19830029,1
0.31452167,0.24187256,1
0.27896994,0.21056195,1
0.32840237,0.19773258,1
0.30555555,0.2195913,1
0.27478376,0.20313972,1
0.25739646,0.14516672,1
0.2520593,0.12927191,1
0.22239032,0.15925394,1
0.2522388,0.19430605,1
0.25709715,0.16272189,1
0.24149378,0.15565856,1
0.29584557,0.17102769,1
0.2963686,0.18444523,1
0.31616813,0.2065255,1
0.40225035,0.22106552,0
0.3684941,0.21578299,1
0.33749133,0.19283065,1
0.26764315,0.18629284,1
0.24635568,0.15657762,1
0.26917294,0.15025553,1
0.24203822,0.14327593,1
0.24244772,0.15686981,1
0.22392415,0.18210638,1
0.26156178,0.1780531,1
0.28730342,0.14970881,1
0.24669437,0.14147353,1
0.25636157,0.16643159,1
0.26016885,0.16288953,1
0.26069412,0.13558707,1
0.28797084,0.14429651,1
0.28137177,0.18486486,1
0.26533997,0.14866391,1
0.28808448,0.11053316,1
0.2529335,0.16838905,1
0.26556543,0.1931716,1
0.3605165,0.19558077,1
0.30055317,0.19717115,1
0.22564735,0.1670091,1
0.2113924,0.13556808,1
0.21363041,0.119371414,1
0.20903225,0.11780495,1
0.20376176,0.12974404,1
0.19821543,0.13870382,1
0.20383038,0.1062225,1
0.21580103,0.10652463,1
0.22364673,0.12287582,1
0.23210703,0.1698952,1
0.21112697,0.13011648,1
0.24238734,0.06806283,1
0.3228907,0.1637958,1
0.31623933,0.22259542,1
0.29359823,0.1600132,1
0.27725857,0.11186441,1
0.28172043,0.15429309,1
0.22031896,0.13891952,1
0.19245702,0.15840517,1
0.18654074,0.1505438,1
0.21899736,0.1092437,1
0.20366733,0.13737623,1
0.21003135,0.1612515,1
0.22112212,0.13149847,1
0.28151262,0.12615384,1
0.21055718,0.12786885,1
0.18933624,0.15600212,1
0.18051879,0.14241803,1
0.19461581,0.119873814,1
0.24093264,0.13205318,1
0.2322996,0.17818181,1
0.25891292,0.16338104,1
0.22089228,0.18323226,1
0.25490198,0.18226601,1
0.31958762,0.112299465,1
0.27364016,0.15917745,1
0.2818406,0.17117117,1
0.26364335,0.14246005,1
0.23239437,0.17292225,1
0.25801954,0.16650501,1
0.2850877,0.15392189,1
0.27433628,0.14443676,1
0.2821293,0.15321477,1
0.27707008,0.17080292,1
0.2587755,0.15160568,1
0.28737414,0.19482386,1
0.2580645,0.1641791,1
0.269103,0.14072415,1
0.25869894,0.18223801,1
0.2335921,0.16184779,1
0.23355025,0.14998315,1
0.23500353,0.16356383,1
0.22359796,0.14363512,1
0.25174057,0.1556157,1
0.24200279,0.17732367,1
0.24092889,0.15384616,1
0.23916294,0.13873626,1
0.23147441,0.16138329,1
0.21517028,0.14850037,1
0.23641928,0.16847433,1
0.23901713,0.18265814,1
0.22521247,0.15487316,1
0.23595506,0.16325182,1
0.2308792,0.16272789,1
0.21646558,0.1604604,1
0.21164773,0.13771257,1
0.21649484,0.15572968,1
0.2281652,0.12986608,1
0.19130434,0.15716441,1
0.20623916,0.15550636,1
0.2024024,0.13492064,1
0.24151185,0.17454545,1
0.30018017,0.13960834,1
0.29989403,0.19286872,1
0.30959302,0.18280275,1
0.32966277,0.19851117,1
0.34299517,0.20197652,1
0.36666667,0.24570674,1
0.4452555,0.21887825,0
0.46686748,0.3012692,0
0.35898423,0.25604552,1
0.39507222,0.23180795,1
0.41733548,0.26594982,0
0.39462978,0.26868987,1
0.37698784,0.19674797,1
0.3513299,0.23021322,1
0.3234259,0.2274211,1
0.37244898,0.19910847,1
0.3327835,0.19970304,1
0.33235726,0.15592252,1
0.31826743,0.2248469,1
0.22790138,0.17356321,1
0.17840055,0.09044908,1
0.18857142,0.089361705,1
0.1615074,0.10747514,1
0.18881118,0.12990937,1
0.22249094,0.16811092,1
0.23312883,0.14660582,1
0.21785714,0.1552795,1
0.24025974,0.06436333,1
0.23913044,0.099973194,1
0.20289157,0.17569478,1
0.18663484,0.17374882,1
0.23233405,0.15475294,1
0.208933,0.18223733,1
0.21655025,0.17793965,1
0.22724533,0.12610619,1
0.25136945,0.19883382,1
0.29166666,0.19649123,1
0.3038749,0.17777096,1
0.31205675,0.16023833,1
0.24296963,0.18213426,1
0.18734552,0.2220809,1
0.30472103,0.17829457,1
0.3191977,0.21605916,1
0.24891305,0.17125382,1
0.22969024,0.12815014,1
0.26132837,0.15816472,1
0.26890758,0.17738791,1
